Wall time,Step,Value
1736298605,2048,2048
1736298607,4096,2048
1736298608,6144,2048
1736298610,8192,2048
1736298611,10240,2048
1736298612,12288,2048
1736298614,14336,2048
1736298615,16384,2048
1736298616,18432,2048
1736298619,20480,2048
1736298620,22528,2048
1736298622,24576,2048
1736298623,26624,1969.538452
1736298624,28672,1849.800049
1736298626,30720,1462.80957
1736298627,32768,1117.206909
1736298629,34816,809.2557983
1736298631,36864,534.1738892
1736298633,38912,286.5899963
1736298636,40960,58.00999832
1736298638,43008,46.40999985
1736298641,45056,41.15999985
1736298644,47104,37.22999954
1736298646,49152,32.59999847
1736298649,51200,31.32999992
1736298653,53248,28.76000023
1736298656,55296,28.55999947
1736298659,57344,26.05999947
1736298662,59392,23.84000015
1736298666,61440,22.79000092
1736298670,63488,21.52000046
1736298673,65536,21.23999977
1736298677,67584,19.78000069
1736298681,69632,19.30999947
1736298685,71680,18.09000015
1736298689,73728,17.85000038
1736298693,75776,18.21999931
1736298698,77824,17.35000038
1736298702,79872,17.12000084
1736298706,81920,16.88999939
1736298711,83968,16.70999908
1736298715,86016,16.47999954
1736298719,88064,16.15999985
1736298724,90112,16.03000069
1736298728,92160,15.82999992
1736298734,94208,15.60999966
1736298738,96256,15.44999981
1736298743,98304,15.60000038
1736298748,100352,15.52999973
